Prenom,Nom,Nationalite,Age,Poste,Nom_equipe
Roman,Weidenfeller,Allemagne,37,G,Dortmund
Dominiic,Reimann,Allemagne,20,G,Dortmund
Roman,BAPwrki,Suisse,27,G,Dortmund
Dan-Axel,Zagadou,France,18,D,Dortmund
Raphael,Guerreiro,Portugal,24,D,Dortmund
Jeremy,Toljan,Allemagne,23,D,Dortmund
Manuel,Akanji,Suisse,22,D,Dortmund
Sokratis,Papasthatopoulos,Grece,29,D,Dortmund
Lukasz,Piszczek,Pologne,32,D,Dortmund
Marcel,Schmelzer,Allemagne,30,D,Dortmund
ANYmer,Toprak,Turquie,28,D,Dortmund
Erik,Durm,Allemagne,25,D,Dortmund
Nuri,Sahin,Turquie,29,M,Dortmund
Mario,Gotze,Allemagne,25,M,Dortmund
Marco,Reus,Allemagne,28,M,Dortmund
Sebastien,Rode,Allemagne,28,M,Dortmund
Mahmoud,Dahoud,Allemagne,22,M,Dortmund
Andre,Schurrle,Allemagne,27,M,Dortmund
Christian,Pulisic,Etats-unis,19,M,Dortmund
Shinji,Kagawa,Japon,28,M,Dortmund
Gonzalo,Castro,Allemagne,30,M,Dortmund
Julian,Weigl,Allemagne,22,M,Dortmund
Jadon,Sancho,Angleterre,17,A,Dortmund
Andriy,Yarmolenko,Ukraine,28,A,Dortmund
Alexander,Isak,Suede,18,A,Dortmund
Maximillian,Phillip,Allemagne,24,A,Dortmund
Michy,Batshuayi,Belgique,24,A,Dortmund
Keylor ,Navas,Costa-Rica,31,G,Real_de_Madrid
Kiko,Casillas,Espagne,31,G,Real_de_Madrid
Luca,Zidane,France,19,G,Real_de_Madrid
Daniel,Carvajal,Espagne,26,D,Real_de_Madrid
Jesus,Vallejo,Espagne,21,D,Real_de_Madrid
Sergio,Ramos,Espagne,31,D,Real_de_Madrid
Rafael,Varane,France,24,D,Real_de_Madrid
Nacho,,Espagne,28,D,Real_de_Madrid
Marcelo,,Bresil,29,D,Real_de_Madrid
Theo,Hernandez,France,20,D,Real_de_Madrid
Achraf,Hakimi,Maroc,19,D,Real_de_Madrid
Toni,Kroos,Allemagne,28,M,Real_de_Madrid
Luka,Modric,Croatie,32,M,Real_de_Madrid
Casemiro,,Bresil,26,M,Real_de_Madrid
Marcos,Llorente,Espagne,23,M,Real_de_Madrid
Marco,Asensio,Espagne,22,M,Real_de_Madrid
Isco,,Espagne,25,M,Real_de_Madrid
Mateo,Kovacic,Croatie,23,M,Real_de_Madrid
Dani,Ceballos,Espagne,21,M,Real_de_Madrid
Cristiano,Ronaldo,Portugal,33,A,Real_de_Madrid
Karim,Benzema,France,30,A,Real_de_Madrid
Gareth,Bale,Pays-De-Galles,28,A,Real_de_Madrid
Lucas,Vasquez,Espagne,26,A,Real_de_Madrid
Borja,Mayoral,Espagne,20,A,Real_de_Madrid
David ,De Gea,Espagne,27,G,Manchester_United
Sergio,Romero,Argentine,31,G,Manchester_United
Joel,Pereira,Portugal,21,G,Manchester_United
Victor,Lindelof,Suede,23,D,Manchester_United
Eric,Bailly,Cote divoire,23,D,Manchester_United
Phil,Jones,Angleterre,26,D,Manchester_United
Marcos,Rojo,Argentine,27,D,Manchester_United
Christian,Smalling,Angleterre,28,D,Manchester_United
Daley,Blind,Pays-Bas,28,D,Manchester_United
Luke,Shaw,Angleterre,22,D,Manchester_United
Antono,Valencia,Equateur,32,D,Manchester_United
Matteo,Darmian,Italie,28,D,Manchester_United
Cameron,Borthewick-Jackson,Angleterre,21,D,Manchester_United
Paul,Pogba,France,24,M,Manchester_United
Juan,Mata,Espagne,29,M,Manchester_United
Jesse,Lingard,Angleterre,25,M,Manchester_United
Michael,Carrick,Angleterre,36,M,Manchester_United
Ashley,Young,Angleterre,32,M,Manchester_United
Ander,Herrera,Espagne,28,M,Manchester_United
Marouane,Fellaini,Belgique,30,M,Manchester_United
Nemanja,Matic,Serbie,29,M,Manchester_United
Aliou,Traore,France,17,M,Manchester_United
Alexis,Sanchez,Chili,29,A,Manchester_United
Romelu,Lukaku,Belgique,24,A,Manchester_United
Zlatan,Ibrahimovic,Suede,36,A,Manchester_United
Anthony,Martial,France,22,A,Manchester_United
Marcus,Rashford,Angleterre,20,A,Manchester_United
Marc-Andre,Tergen,Allemagne,25,G,Barcelona
Jasper,Cillesen,Pays-Bas,28,G,Barcelona
Nelson,Semedo,Portugal,24,D,Barcelona
Gerard,Pique,Espagne,31,D,Barcelona
Jordi,Alba,Espagne,28,D,Barcelona
Lucas,Digne,France,24,D,Barcelona
Aleix,Vidal,Espagne,28,D,Barcelona
Samuel,Umtiti,France,24,D,Barcelona
Yerry,Mina,Colombie,23,D,Barcelona
Thomas,Vermaelen,Belgique,32,D,Barcelona
Ivan,Rakitic,Croatie,30,M,Barcelona
Sergio,Busquets,Espagne,29,M,Barcelona
Denis,Suarez,Espagne,24,M,Barcelona
Philippe,Coutinho,Bresil,25,M,Barcelona
Andres,Iniesta,Espagne,33,M,Barcelona
Paulinho,,Bresil,29,M,Barcelona
Sergi,Roberto,Espagne,26,M,Barcelona
Andre,Gomes,Portugal,24,M,Barcelona
Luis,Suarez,Uruguay,31,A,Barcelona
Lionnel,Mess,Argentine,30,A,Barcelona
Ousmane,Dembele,France,20,A,Barcelona
Paco,Alcacer,Espagne,24,A,Barcelona
Gianluggi,Buffon,Italie,40,G,Juventus
Carlo,Pinsoglio,Italiie,27,G,Juventus
Wojciech,Szczesny,Pologne,27,G,Juventus
Mattia,Di Sciglio,Italie,25,D,Juventus
Giorgio,Chiellini,Iitalie,33,D,Juventus
Mehdi,Benetia,Maroc,30,D,Juventus
Alex,Sandro,Bresil,27,D,Juventus
Andrea,Barzagli,Italie,26,D,Juventus
Benedikt,Howedes,Allemagne,30,D,Juventus
Kwadwo,Assamoa,Ghana,29,D,Juventus
Daniele,Rugani,Italie,23,D,Juventus
Stephan,Lichtsteiner,Suisse,34,D,Juventus
Miralem,Pjanic,Bosnie-Herzegovine,27,M,Juventus
Sami,Khedira,Allemagne,30,M,Juventus
Claudio,Marchisio,Italie,32,M,Juventus
Blaise,Matuidi,France,30,M,Juventus
Stefano,Sturaro,Italie,25,M,Juventus
Rodrigo,Bentancur,Uruguay,21,M,Juventus
Juan,Cuadrado,Colombie,29,M,Juventus
Gonzalo,Higuain,Argentine,30,A,Juventus
Paulo,Dybala,Argentine,24,A,Juventus
Douglas,Costa,Bresil,27,A,Juventus
Mario,Manzukic,Croatie,31,A,Juventus
Federico,Bernardeshi,Italie,24,A,Juventus
Claudio,Bravo,Chili,34,G,Manchester-City
Ederson,Moraes,Bresil,24,G,Manchester-City
Kyle ,Walker,Angleterre,25,D,Manchester-City
Danilo,,Bresil,26,D,Manchester-City
Vincent,Kompany,Belgique,31,D,Manchester-City
John,Stones,Angleterre,23,D,Manchester-City
Aymeric,Laporte,France,23,D,Manchester-City
Benjamin,Mendy,France,23,D,Manchester-City
Tosin,Adarabioko,Angleterre,20,D,Manchester-City
Nicolas,Otamendi,Argentine,30,D,Manchester-City
Raheem,Sterling,Angleterre,23,M,Manchester-City
Ilkay,Gündagon,Allemagne,27,M,Manchester-City
Kevin,De Bruyne,Belgique,26,M,Manchester-City
Fabian,Delph,Angleterre,28,M,Manchester-City
Leroy,Sane,Allemagne,23,M,Manchester-City
Bernado,Silva,Portugal,23,M,Manchester-City
David ,Silva,Espagne,32,M,Manchester-City
Fernandinho,,Bresil,32,M,Manchester-City
Oleksandr,Zichenko,Ukraine,21,M,Manchester-City
Yaya,Toure,Cote d’ivoire,34,M,Manchester-City
Phil,Foden,Angleterre,17,M,Manchester-City
Brahim,Diaz,Espagne,18,M,Manchester-City
Sergio,Aguero,Argentine,29,A,Manchester-City
Gabriel,Jesus,Bresil,20,A,Manchester-City
Willy,Caballero,Argentine,36,G,Chelsea
Thibaut,Courtois,Belgique,25,G,Chelsea
 Eduardo,,Portugal,35,G,Chelsea
Antonio,Rüdiger,Allemagne,25,D,Chelsea
Marcos,Alonso,Espagne,27,D,Chelsea
Victor,Moses,Nigeria,27,D,Chelsea
Davide,Zappacosta,Italie,25,D,Chelsea
Gary,Cahill,Angleterre,32,D,Chelsea
Andreas,Christensen,Danemark,21,D,Chelsea
Cesar,Azpillicueta,Espagne,28,D,Chelsea
David ,Luiz,Bresil,30,D,Chelsea
Emerson,,Italie,24,D,Chelsea
Cesc,Frabegas,Espagne,30,M,Chelsea
Danny,Drinkwater,Angleterre,28,M,Chelsea
N’golo,Kante,France,26,M,Chelsea
Ross,Barkley,Angleterre,24,M,Chelsea
Eden,Hazard,Belgique,27,M,Chelsea
Pedro,,Espagne,30,M,Chelsea
 Tiemoue ,Bakayoko,France,23,M,Chelsea
Willian,,Bresil,29,M,Chelsea
Ethan,Ampadu,Pays-de-Galles,17,M,Chelsea
Alvaro,Morata,Espagne,25,A,Chelsea
Olivier,Giroud,France,31,A,Chelsea
Jon,Oblak,Slovenie,25,G,Atletico-Madrid
Axel,Werner,Argentine,22,G,Atletico-Madrid
Diego,Godin,Uruguay,32,D,Atletico-Madrid
Filipe,Luis,Bresil,32,D,Atletico-Madrid
Stefan,Savic,Montenegro,27,D,Atletico-Madrid
Sime,Vrsaljko,Croatie,26,D,Atletico-Madrid
Lucas,Hernandez,France,22,D,Atletico-Madrid
Juanfran,,Espagne,33,D,Atletico-Madrid
Jose,Gimenez,Argentine,23,D,Atletico-Madrid
Thomas,Partey,Ghana,24,M,Atletico-Madrid
Koke,,Espagne,26,M,Atletico-Madrid
Saul,Niguez,Espagne,23,M,Atletico-Madrid
Gabi,,Espagne,34,M,Atletico-Madrid
Vitolo,,Espagne,28,M,Atletico-Madrid
Antoine,Griezmann,France,26,A,Atletico-Madrid
Fernando,Torres,Espagne,33,A,Atletico-Madrid
Angel,Correa,Argentine,23,A,Atletico-Madrid
Diego,Costa,Espagne,23,A,Atletico-Madrid
Kevin,Gameiro,France,30,A,Atletico-Madrid
Danijel ,Subašić,Croatie,33,G,Monaco
Diego ,Benaglio,Suisse,34,G,Monaco
Seydou ,Sy,Senegal,22,G,Monaco
Loïc ,Badiashile,France,20,G,Monaco
Jemerson,,Bresil,25,D,Monaco
Jorge,,Bresil,21,D,Monaco
Jorge,,Bresil,25,D,Monaco
Djibril,Sidibe,France,20,D,Monaco
Julien,Serrano,France,33,D,Monaco
Andre,Raggi,Italie,30,D,Monaco
Kamil,Glik,Pologne,21,D,Monaco
Almamy,Toure,Mali,24,D,Monaco
Fabinho,,Bresil,25,M,Monaco
Rachid,Ghezzal,Algerie,31,M,Monaco
Joao,Moutinho,Portugal,20,M,Monaco
Youri,Tielemans,Belgique,22,M,Monaco
Rony,Lopes,Portugal,22,M,Monaco
Grabiel,Boschilia,Bresil,22,M,Monaco
Thomas,Lemar,France,22,M,Monaco
Adama,Traore,Mali,19,M,Monaco
Romain,Faivre,France,22,M,Monaco
Kevin,N’doram,France,18,M,Monaco
Franco,Antonucci,Belq,18,M,Monaco
Adrien,Bongiovanni,Belq,32,M,Monaco
Radamel,Falcao,Colombie,28,A,Monaco
Stevan,Jovetic,Montenegro,23,A,Monaco
Keita,Balde,Senegal,21,A,Monaco
Adama,Diakhaby,France,18,A,Monaco
Jordi,Mboula,Espagne,18,A,Monaco
Moussa,Sylla,France,18,A,Monaco
Kevin,Appin,France,20,A,Monaco
Romain,Cagnon,France,20,G,Marseille
Yohan,Pelé,France,35,G,Marseille
Steve,Mandanda,France,32,G,Marseille
Florian,Escales,France,22,G,Marseille
Hiroko,Sakai,Japon,27,D,Marseille
Boubakar,kamara,France,18,D,Marseille
Rolando,,Portugal,32,D,Marseille
Henri,Bedimo,Cameroun,33,D,Marseille
Aymen,Abdennour,Tunisie,28,D,Marseille
Bouna,Sarr,Mali,26,D,Marseille
Jordan,Amavi,France,24,D,Marseille
Christopher,Rocchia,France,20,D,Marseille
Adil ,Rami,France,32,D,Marseille
Rod ,Fanni,France,36,D,Marseille
Brice,Niate,Cameroun,22,D,Marseille
Gaël,Andonian,Armenie,23,D,Marseille
Morgan,Sanson,France,23,M,Marseille
Luiz,Gustavo,Bresil,30,M,Marseille
Gregory,Sertic,France,28,M,Marseille
Maxim,Lopez,France,20,M,Marseille
Andre Zambo,Anguissa,Cameroun,22,M,Marseille
Lucas,Ocampos,Argentine,23,A,Marseille
Dimitri,Payet,France,30,A,Marseille
Konstantinos,Mitroglou,Grece,30,A,Marseille
Florian,Thauvin,France,25,A,Marseille
Valere,Germain,France,27,A,Marseille
Clinton,Nije,Cal,24,A,Marseille
yusuf,Sari,France,19,A,Marseille
Loris,Karius,Allemagne,24,G,Liverpool
Simon,Mignolet,Belgique,30,G,Liverpool
Adam,Bogdan,Hongrie,30,G,Liverpool
Danny,Ward,Pays-de-Galles,24,G,Liverpool
Nathaniel,Clyne,Angleterre,26,D,Liverpool
Virgil,Van djik,Pays-Bas,26,D,Liverpool
Dejan,Lovren,Croatie,28,D,Liverpool
Joe,Gomez,Angleterre,20,D,Liverpool
Ragnar,Klavan,Estonie,32,D,Liverpool
Alberto,Moreto,Espagne,25,D,Liverpool
Andrew,Roberson,Ecosse,24,D,Liverpool
Joël Matip,Trent,Cameroun,26,D,Liverpool
Alenxender ,Arnoid,Angleterre,19,D,Liverpool
Gerginio,Wijnaldum,Pays-Bas,27,M,Liverpool
James ,Milner,Angleterre,32,M,Liverpool
Jordan ,Enderson,Angleterre,27,M,Liverpool
Adam,Lallana,Angleterre,29,M,Liverpool
Oxlade,Chamberlain,Angleterre,24,M,Liverpool
Emre,Can,Allemagne,24,M,Liverpool
Roberto,Firmino,Bresil,26,A,Liverpool
Mohammed,Salah,Egypte,25,A,Liverpool
Sadio,Mane,Senegal,25,A,Liverpool
Danny,Ings,Angleterre,25,A,Liverpool
Dominic,Solanke,Angleterre,20,A,Liverpool
Ben,Woodbum,Pays-de-Galles,18,A,Liverpool
